 71  1.95638280 3.939E-29 7.761E-10.05140.052 1572.58380.720.000000       X      1       X      1                Q  3P  4     d746620492212 9 4 0     7.0    9.0
 71  1.97350558 1.255E-25 8.210E-10.04600.046   79.60700.720.000000       X      0       X      0                Q  7R  6     d846620492212 9 4 0    15.0   13.0
 71  1.97688568 6.553E-29 8.251E-10.04600.046 1635.11090.720.000000       X      1       X      1                Q  7R  6     d846620492212 9 4 0    15.0   13.0
 71  1.98774146 1.113E-25 8.339E-10.04810.048   42.22400.720.000000       X      0       X      0                Q  5P  6     d846620492212 9 4 0    11.0   13.0
 71  1.99401181 5.819E-29 8.421E-10.04810.048 1598.13610.720.000000       X      1       X      1                Q  5P  6     d746620492212 9 4 0    11.0   13.0
 71  2.01159371 1.133E-25 8.590E-10.04810.048   42.20010.720.000000       X      0       X      0                Q  5R  4     d846620492212 9 4 0    11.0    9.0
 71  2.01442346 5.902E-29 8.628E-10.04810.048 1598.11570.720.000000       X      1       X      1                Q  5R  4     d746620492212 9 4 0    11.0    9.0
 71  2.01588742 1.313E-25 8.773E-10.04600.046   79.56460.720.000000       X      0       X      0                Q  7P  8     d846620492212 9 4 0    15.0   17.0
 71  2.02189305 6.872E-29 8.849E-10.04600.046 1635.06590.720.000000       X      1       X      1                Q  7P  8     d746620492212 9 4 0    15.0   17.0
 71  2.03976339 1.348E-25 9.123E-10.04440.045  128.39770.720.000000       X      0       X      0                Q  9P 10     d846620492212 9 4 0    19.0   21.0
 71  2.04562384 7.072E-29 9.199E-10.04440.045 1683.36160.720.000000       X      1       X      1                Q  9P 10     d746620492212 9 4 0    19.0   21.0
 71  2.06143155 1.245E-25 9.431E-10.04310.044  188.71340.720.000000       X      0       X      0                Q 11P 12     d846620492212 9 4 0    23.0   25.0
 71  2.06720936 6.554E-29 9.511E-10.04310.044 1743.01330.720.000000       X      1       X      1                Q 11P 12     d746620492212 9 4 0    23.0   25.0
 71  2.08181435 1.053E-25 9.728E-10.04170.043  260.50090.720.000000       X      0       X      0                Q 13P 14     d846620492212 9 4 0    27.0   29.0
 71  2.08431726 8.404E-26 9.147E-10.05140.052   16.25290.720.000000       X      0       X      0                Q  3R  2     d846620492212 9 4 0     7.0    5.0
 71  2.08563181 4.362E-29 9.159E-10.05140.052 1572.45450.720.000000       X      1       X      1                Q  3R  2     d746620492212 9 4 0     7.0    5.0
 71  2.08754664 5.563E-29 9.807E-10.04170.043 1814.01040.720.000000       X      1       X      1                Q 13P 14     d746620492212 9 4 0    27.0   29.0
 71  2.10138662 8.223E-26 1.001E-09.04040.042  343.74810.720.000000       X      0       X      0                Q 15P 16     d846620492212 9 4 0    31.0   33.0
 71  2.10709739 4.364E-29 1.009E-09.04040.042 1896.34060.720.000000       X      1       X      1                Q 15P 16     d746620492212 9 4 0    31.0   33.0
 71  2.12041779 5.969E-26 1.029E-09.03890.041  438.44130.720.000000       X      0       X      0                Q 17P 18     d846620492212 9 4 0    35.0   37.0
 71  2.12612365 3.184E-29 1.038E-09.03890.041 1989.99040.720.000000       X      1       X      1                Q 17P 18     d746620492212 9 4 0    35.0   37.0
 71  2.13907226 4.042E-26 1.057E-09.03700.040  544.56510.720.000000       X      0       X      0                Q 19P 20     d846620492212 9 4 0    39.0   41.0
 71  2.14478529 2.168E-29 1.065E-09.03700.040 2094.94410.720.000000       X      1       X      1                Q 19P 20     d746620492212 9 4 0    39.0   41.0
 71  2.15745610 2.561E-26 1.085E-09.03560.039  662.10200.720.000000       X      0       X      0                Q 21P 22     d842620492212 9 4 0    43.0   45.0
 71  2.16318546 1.382E-29 1.093E-09.03560.039 2211.18460.720.000000       X      1       X      1                Q 21P 22     d742620492212 9 4 0    43.0   45.0
 71  2.17564084 1.521E-26 1.112E-09.03540.038  791.03310.720.000000       X      0       X      0                Q 23P 24     d842620492212 9 4 0    47.0   49.0
 71  2.18139376 8.269E-30 1.121E-09.03540.038 2338.69260.720.000000       X      1       X      1                Q 23P 24     d742620492212 9 4 0    47.0   49.0
 71  2.19367658 8.487E-27 1.141E-09.03520.037  931.33720.720.000000       X      0       X      0                Q 25P 26     d842620492212 9 4 0    51.0   53.0
 71  2.19945889 4.648E-30 1.150E-09.03520.037 2477.44730.720.000000       X      1       X      1                Q 25P 26     d742620492212 9 4 0    51.0   53.0
 71  2.21159948 4.452E-27 1.169E-09.03500.036 1082.99170.720.000000       X      0       X      0                Q 27P 28     d842520492212 9 4 0    55.0   57.0
 71  2.21741604 2.458E-30 1.178E-09.03500.036 2627.42580.720.000000       X      1       X      1                Q 27P 28     d742520492212 9 4 0    55.0   57.0
 71  2.22943631 2.198E-27 1.198E-09.03480.035 1245.97180.720.000000       X      0       X      0                Q 29P 30     d742520492212 9 4 0    59.0   61.0
 71  2.23529128 1.224E-30 1.207E-09.03480.035 2788.60350.720.000000       X      1       X      1                Q 29P 30     d742520492212 9 4 0    59.0   61.0
 71  2.24720742 1.022E-27 1.227E-09.03470.034 1420.25110.720.000000       X      0       X      0                Q 31P 32     d742520492212 9 4 0    63.0   65.0
 71  2.25310436 5.746E-31 1.236E-09.03470.034 2960.95380.720.000000       X      1       X      1                Q 31P 32     d742520492212 9 4 0    63.0   65.0
 71  2.26492852 4.481E-28 1.256E-09.03460.034 1605.80120.720.000000       X      0       X      0                Q 33P 34     d742220492212 9 4 0    67.0   69.0
 71  2.27087061 2.544E-31 1.266E-09.03460.034 3144.44840.720.000000       X      1       X      1                Q 33P 34     d742220492212 9 4 0    67.0   69.0
 71  2.28261200 1.853E-28 1.286E-09.03460.034 1802.59190.720.000000       X      0       X      0                Q 35P 36     d742220492212 9 4 0    71.0   73.0
 71  2.28860209 1.063E-31 1.295E-09.03460.034 3339.05720.720.000000       X      1       X      1                Q 35P 36     d742220492212 9 4 0    71.0   73.0
 71  2.30026780 7.232E-29 1.316E-09.03460.034 2010.59110.720.000000       X      0       X      0                Q 37P 38     d742220492212 9 4 0    75.0   77.0
 71  2.31790399 2.666E-29 1.346E-09.03460.034 2229.76490.720.000000       X      0       X      0                Q 39P 40     d742220492212 9 4 0    79.0   81.0
 71  2.33552724 9.282E-30 1.377E-09.03460.034 2460.07740.720.000000       X      0       X      0                Q 41P 42     d742220492212 9 4 0    83.0   85.0
 71  2.35314312 3.055E-30 1.409E-09.03460.034 2701.49120.720.000000       X      0       X      0                Q 43P 44     d742220492212 9 4 0    87.0   89.0
 71  2.37075637 9.506E-31 1.441E-09.03460.034 2953.96660.720.000000       X      0       X      0                Q 45P 46     d742220492212 9 4 0    91.0   93.0
 71  2.38837101 2.798E-31 1.473E-09.03460.034 3217.46230.720.000000       X      0       X      0                Q 47P 48     d642220492212 9 4 0    95.0   97.0
 71  2.40599058 7.794E-32 1.506E-09.03460.034 3491.93520.720.000000       X      0       X      0                Q 49P 50     d642220492212 9 4 0    99.0  101.0
